Date,Amount,Category
2023-05-28,$6303.38,Daycare
2024-01-21,$1889.33,Gas
2024-01-14,$2605.61,Gas
2023-08-27,$3301.17,Daycare
2023-08-10,$8294.81,Daycare
2023-01-03,$5877.12,Gas
2023-09-10,$7126.38,Daycare
2023-06-07,$802.62,Lawyer
2023-12-21,$3019.14,Gas
2023-07-10,$1213.27,Rent
2024-01-06,$7708.07,Lawyer
2023-04-22,$6549.82,Lawyer
2023-04-26,$1904.95,Daycare
2023-02-26,$576.37,Lawyer
2024-02-13,$2136.72,Lawyer
2024-01-26,$4786.47,Rent
2023-09-26,$921.33,Gas
2023-03-01,$8571.18,Gas
2023-09-20,$9446.53,Lawyer Fees
2023-12-09,$4011.14,Daycare
2023-06-05,$1829.13,Daycare
2023-09-22,$3382.36,Lawyer Fees
2023-09-09,$9763.25,Lawyer
2023-04-19,$1308.19,Lawyer Fees
2023-09-17,$7919.68,Rent
2023-07-14,$7621.83,Daycare
2023-05-21,$4005.03,Lawyer Fees
2023-11-29,$2890.36,Rent
2023-12-30,$6312.31,Lawyer Fees
2023-08-17,$4078.76,Gas
2023-08-18,$6599.23,Rent
2023-02-09,$3584.19,Daycare
2023-07-20,$7861.74,Lawyer Fees
2023-05-19,$1003.91,Lawyer Fees
2024-01-06,$176.22,Daycare
2024-01-26,$2052.68,Lawyer
2023-05-12,$2707.13,Lawyer Fees
2023-10-14,$6071.11,Lawyer Fees
2024-01-11,$2924.84,Daycare
2023-02-14,$6903.90,Daycare
2023-01-09,$7417.27,Rent
2023-07-05,$5319.03,Gas
2023-11-01,$2880.54,Lawyer Fees
2023-05-10,$4060.14,Lawyer
2023-06-10,$2525.89,Rent
2023-01-05,$8254.58,Rent
2023-03-10,$57.10,Lawyer
2023-10-23,$3364.73,Gas
2023-08-31,$303.15,Gas
2023-09-17,$1602.32,Gas
2023-05-18,$1357.82,Lawyer Fees
2023-02-18,$5421.24,Lawyer Fees
2024-02-01,$274.68,Lawyer Fees
2024-02-28,$9522.40,Lawyer Fees
2023-07-16,$1404.95,Gas
2023-02-16,$1777.03,Gas
2023-10-30,$9398.11,Lawyer
2024-02-02,$8792.50,Lawyer Fees
2023-05-24,$9131.95,Lawyer
2024-02-27,$7781.99,Lawyer Fees
2024-02-15,$2633.27,Rent
2023-03-31,$8791.35,Rent
2023-11-13,$7633.15,Lawyer Fees
2023-02-15,$6868.61,Rent
2023-08-10,$1295.08,Lawyer Fees
2024-02-23,$5611.67,Lawyer
2023-10-11,$2764.43,Gas
2023-12-23,$7073.64,Lawyer Fees
2024-01-02,$7232.57,Gas
2023-10-22,$1018.12,Lawyer
2023-12-17,$3171.78,Lawyer
2023-02-02,$2453.85,Lawyer Fees
2023-01-03,$6527.30,Lawyer
2023-08-27,$1903.15,Gas
2023-02-09,$1467.92,Lawyer
2023-05-01,$2914.01,Daycare
2023-03-30,$7452.47,Rent
2023-05-05,$7878.33,Daycare
2024-02-22,$5970.94,Daycare
2023-11-20,$5842.22,Lawyer Fees
2023-10-18,$3946.17,Daycare
2023-06-19,$4821.74,Daycare
2023-01-22,$6869.81,Lawyer
2023-08-25,$3224.60,Rent
2023-06-28,$5800.07,Lawyer
2023-06-15,$7679.78,Lawyer Fees
2023-07-30,$7678.79,Lawyer
2023-03-08,$4189.96,Gas
2023-07-06,$8887.96,Lawyer
2023-11-03,$2829.24,Lawyer
2024-01-04,$2870.20,Daycare
2023-10-22,$3868.91,Lawyer
2023-11-28,$2712.33,Daycare
2024-01-19,$1976.24,Lawyer
2023-01-22,$8357.33,Rent
2023-07-20,$8245.04,Gas
2023-12-09,$1706.27,Rent
2023-05-02,$6610.78,Rent
2023-11-11,$5431.71,Rent
2024-01-04,$740.31,Lawyer Fees
2023-09-13,$2325.50,Daycare
2023-09-27,$7042.11,Gas
2023-06-16,$5295.45,Gas
2023-06-07,$678.09,Rent
2023-08-06,$8836.92,Lawyer
2023-03-29,$1831.04,Lawyer Fees
2023-05-01,$9912.00,Gas
2023-04-04,$5898.16,Gas
2023-08-28,$970.18,Lawyer
2023-10-11,$5031.87,Rent
2023-04-14,$4194.29,Rent
2023-12-06,$7987.99,Lawyer
2023-04-24,$8891.03,Lawyer Fees
2023-09-06,$9724.75,Rent
2023-07-01,$138.91,Daycare
2023-12-06,$3013.89,Lawyer Fees
2023-05-25,$4188.54,Lawyer
2023-10-13,$6085.69,Gas
2024-01-05,$9389.82,Lawyer
2024-01-21,$4939.56,Rent
2023-10-30,$6204.57,Gas
2023-05-18,$7450.20,Lawyer
2023-02-12,$3670.09,Lawyer
2023-10-28,$5338.44,Lawyer
2024-02-04,$7952.75,Daycare
2023-08-29,$9408.18,Rent
2023-12-13,$3697.34,Lawyer
2023-10-24,$3161.58,Lawyer Fees
2024-01-26,$8106.29,Lawyer Fees
2024-02-25,$2228.78,Lawyer Fees
2023-08-18,$3946.65,Daycare
2023-01-22,$2098.03,Rent
2023-09-18,$4989.66,Gas
2023-03-08,$9629.22,Lawyer Fees
2023-07-31,$3644.85,Lawyer
2023-11-12,$2137.21,Rent
2024-01-30,$3121.51,Rent
2023-06-19,$8728.50,Daycare
2023-12-24,$8653.18,Lawyer Fees
2023-08-29,$1663.45,Lawyer Fees
2023-05-07,$8918.00,Daycare
2023-05-30,$1643.08,Lawyer Fees
2023-09-04,$3003.43,Daycare
2023-03-10,$3526.87,Lawyer Fees
2023-02-03,$8270.41,Daycare
2023-08-13,$1347.04,Lawyer
2023-08-15,$3091.46,Lawyer Fees
2024-01-13,$1278.79,Daycare
2023-03-07,$9344.76,Daycare
2023-10-24,$9016.04,Gas
2023-06-04,$2614.91,Lawyer
2023-01-03,$6154.84,Daycare
2023-12-10,$2886.65,Rent
2023-04-09,$366.18,Gas
2023-02-04,$5551.71,Rent
2024-02-19,$3985.22,Lawyer Fees
2024-01-30,$8914.07,Rent
2023-01-15,$9829.53,Lawyer
2023-07-12,$8805.49,Lawyer Fees
2023-03-09,$566.88,Lawyer
2024-01-25,$9925.41,Lawyer
2023-04-03,$1416.25,Daycare
2023-08-27,$8816.09,Rent
2023-12-22,$7261.02,Lawyer
2024-01-22,$3262.38,Lawyer Fees
2023-09-23,$38.29,Rent
2023-12-29,$2838.47,Lawyer
2023-11-08,$1117.98,Rent
2023-11-02,$1030.20,Rent
2023-09-17,$7739.05,Lawyer
2023-04-29,$7163.26,Rent
2023-10-26,$7725.59,Gas
2023-01-06,$8370.75,Lawyer Fees
2023-08-09,$5237.08,Lawyer
2023-02-14,$5928.25,Rent
2023-11-01,$426.51,Daycare
2023-09-04,$1801.98,Lawyer Fees
2023-01-01,$9515.77,Gas
2023-12-16,$1958.86,Lawyer Fees
2023-12-21,$1746.38,Lawyer
2023-09-22,$1311.79,Gas
2023-01-19,$621.87,Daycare
2023-05-19,$726.36,Rent
2023-09-12,$781.18,Rent
2024-01-26,$387.24,Rent
2023-07-31,$4620.79,Gas
2023-02-01,$1056.84,Daycare
2023-10-27,$6572.93,Daycare
2023-11-26,$8890.48,Lawyer
2023-08-10,$5577.83,Daycare
2023-08-24,$3948.21,Rent
2023-12-16,$9713.78,Gas
2023-07-10,$9337.38,Rent
2023-02-19,$6963.31,Lawyer Fees
2023-01-23,$8717.77,Rent
2023-04-03,$3224.66,Lawyer
2023-04-04,$5091.23,Lawyer Fees
2023-07-30,$1607.13,Lawyer Fees
2023-07-22,$3938.76,Daycare
2023-07-06,$7375.11,Lawyer Fees
2023-04-18,$4465.40,Rent
2024-01-30,$5276.69,Lawyer
2024-01-07,$4515.92,Daycare
2023-09-27,$5009.42,Gas
2023-12-06,$6060.91,Daycare
2024-01-23,$1774.61,Rent
2023-06-08,$7811.10,Daycare
2023-07-21,$8288.40,Lawyer Fees
2023-04-24,$5419.38,Lawyer Fees
2023-04-19,$450.34,Gas
2023-07-04,$3429.70,Daycare
2024-01-07,$2158.99,Lawyer Fees
2023-04-10,$4996.62,Gas
2023-12-20,$2873.41,Lawyer
2023-04-16,$2678.61,Daycare
2023-03-09,$253.59,Gas
2023-09-09,$7688.65,Daycare
2023-12-18,$7303.55,Gas
2023-04-18,$5467.15,Lawyer
2023-12-14,$5424.71,Lawyer
2023-06-15,$7777.64,Gas
2023-01-24,$6588.11,Lawyer Fees
2023-09-13,$1029.49,Rent
2024-02-23,$9095.69,Rent
2023-01-18,$6253.42,Gas
2023-01-08,$6495.60,Rent
2024-02-02,$5954.65,Daycare
2023-01-31,$1912.43,Lawyer Fees
2023-01-21,$4777.67,Lawyer
2023-05-28,$7669.87,Lawyer Fees
2023-04-07,$7682.24,Daycare
2023-08-15,$5313.71,Gas
2024-02-01,$7086.29,Lawyer Fees
2023-02-23,$8390.96,Gas
2024-01-24,$3250.65,Daycare
2023-09-23,$750.16,Rent
2024-02-13,$2175.84,Gas
2023-12-13,$6129.65,Daycare
2023-10-24,$694.32,Daycare
2023-02-21,$1406.66,Daycare
2024-02-25,$725.47,Lawyer
2023-10-06,$1114.73,Rent
2023-03-01,100,Groceries
2023-03-01,100,Groceries
2024-01-01,100,Groceries
2024-01-01,100,Groceries
2024-01-01,100,Groceries
2024-01-01,100,Groceries
2024-01-01,100,Groceries
2024-01-01,100,Groceries
2024-01-01,100,Groceries
2024-01-01,100,Groceries
2024-01-01,100,Groceries
2024-01-01,100,Groceries
2024-01-01,100,Groceries
2024-01-01,100,Groceries
2024-03-02,2000.0,birthday gift for moms
